<br />
<b>Deprecated</b>:  Constant FILTER_SANITIZE_STRING is deprecated in <b>/srv/htdocs/wp-content/plugins/ninja-tables/app/Library/Csv/Config/Output.php</b> on line <b>181</b><br />
"Name of Institution","Type of Resource",Address,"District / City",State,"PIN Code","Contact Number","Alternate Contact Number","Email Address","Website / Social Link","Services Offered","Admission Criteria (if any)","Google Maps Link"
"Gaya Netrahin Vidyalaya",School,"Behind Arya Samaj Mandir, Chakand Bazar, PO Chakand PS Chandauti",Gaya,Bihar,804404,9472443482,,gayablindschoolchakand@gmail.com,," Type of School: Secondary Co.Ed. Residential school from Pre School/Nursery to Class X - Time of Admission: April - Fee Structure: - - Other Facilities in the School: Apart from School, school is providing services such as Braille press, Braille library, talking book library &amp; print books, Braille appliances, sports, cultural activities, and vocational training.",,
"Girija Shankar Drishtiheen Balika Vidyalaya","Vocational Training","Bodhnath Mishra Lane, Gumti No. 3 Bhikhanpur",Bhagalpur,Bihar,812001,0641-2409279,9122358872,ravindersingh501@gmail.com,,"'- Center is providing vocational training like candle making, etc. to female trainees. - Centre also provides services such as Braille library, print books, sports &amp; cultural activities, etc.",,
"Government High School for the Blind",School,"Ward no.36, Budh Marg, Kadam Kuan",Patna,Bihar,800003,8252849977,,,,"Type of School: Secondary residential school for the boys from Pre - School to Class X - Time of Admission: March - Fee Structure: - - Other Facilities in the School: Apart from School, school provides consultancy services for setting up vocational training programs.",,
"Handicapped Rehabilitation Welfare Society","Vocational Training","Vill, PO, PS Narayan Pur, Gali No. 4 Narayan Pur Bhojpur, Ara",Bhojpur,Bihar,802201,06182-276118,9955270858,hrwsn_ngo@rediffmail.com,,"'- Centre provides rehabilitation services, vocational training such as music and computer training, placement services, library services (Braille and talking book), etc.",,
"Indian Institute of Health Education &amp; Research",,,Patna,Bihar,,0612‑2541621,,,,"Inclusive training programs",,
"Indira Gandhi Drishtiheen Balika Vidyalaya","Vocational Training","Near Circuit House, West of Ara Parisadan",Bhojpur,Bihar,803201,7870805181,,bhaskar_ara11@sify.com,," Centre provides vocational training such as music and art &amp; craft to female trainees. - Centre also provide services like Counseling for late blind persons, library services (Braille, talking book &amp; print books), sports, cultural activities, etc.",,
"Indira Gandhi Institute of Medical Sciences",,,Patna,Bihar,,0612‑2297225,,,,"Eye dept, disability cert, rehab",,
"Kameshwari Priya Netraheen (Balika) Uchcha",School,"Laheria Sarai, Near Darbhanga Station",Darbhanga,Bihar,846004,9431455621,,,,"Type of School: Secondary residential school for the boys from Class I to X - Admission Time: April - Fee Structure: Free - Other Facilities in the School: Apart from School, school also provides facilities like Braille press, Braille library, cultural activities and miscellaneous services.",,
"Koshi Viklang Sansthan","Vocational Training","Samposhit Motilal Braiya Vidyalya Hajinagar Garhbanaili",Purnia,Bihar,854325,09973087693,,,,"'- Centre is providing vocational training like stitching, etc. to male trainees. - Centre also provides services such as career counseling, counseling for late blind persons, talking book library, Braille appliances, sports, cultural activities, etc.",,
"N.C. Special School for Blind",,"J45X+7VR, Near Budh Murti, Kadamkuan, Patna, Bihar 800003",Patna,Bihar,800003,8987041660,,,,,,
"National Society to Prevent Blindness Nawada",,"Jyoti Marg",Nawada,Bihar,805110,,,,,"'- Society provides medical (eye hospital) as well as counseling services.  DIRECTORY OF SERVICESfor Persons with Vision loss in India",,
"Netra Jyoti Seva Mandiram","Eye Bank","42thBihar Ophthalmological Society Conference, Netra Jyoti Seva Mandiram Veerayatan, Rajgir",Nalanda,Bihar,803116,06112-255240,,veerayatanbihar@gmail.com,,"'- Eye hospital with facility of medical certification.",,
"Piyush Eye Bank","Eye Bank","Pujya Tapaswi Sri Jagjeevanjee Maharaj Chakchu Chikitsalaya, Petarbar Post",Pitarbur,Bihar,829121,06549-265609,,,,"'- Eye bank and medical certification.",,
"Poorvanchal Netraheen Samiti","Vocational Training","Gram Post Mahisaur VIA Jamdaha, Jamdaha Road",Vaishali,Bihar,844505,06227-231385,9870808437,,,"'- Center provides vocational training in art &amp; craft to female trainees to female trainees. - Centre also provides services like Braille library, sports &amp; cultural activities, etc.",,
"Purbunchal Netraheen Samiti",School,"At PO, Mahisaur, PS Jandaha",Vaishali,Bihar,844505,9801629475,,,,"Type of School: Secondary Co.Ed. Residential school Pre School/Nursery to Class X - Admission Time: April - Fee Structure: - - Other Facilities in the School: Braille library, aid appliances, sports &amp; cultural activities. Vocational Training DESCRIPTION - Apart from School society provides vocational training services.",,
"Rajkiya Netraheen Uch Vidyalay",SCHOOL,"J45X+7VR, Near Budh Murti, Kadamkuan, Patna, Bihar 800003",Patna,Bihar,800003,8987041660,,,,,"Boys hostel onlyAbove 8 years",https://maps.app.goo.gl/y8giVo6tvdpeDfuBA
"Rajkiye Netraheen High Vidyalya","Vocational Training","PO Lal Bagh, Kadamkua",Darbhanga,Bihar,800003,9472854535,,,,"'- Institution provides services for male like training in music, Braille library, sports &amp; cultural activities, etc.",,
"Rajkiye Netraheen Madhya Avasiye Vidyalya","Vocational Training","Bhikhanpur, Gumti No.2",Bhagalpur,Bihar,812001,0641-2449901,,,," Vocational training centre provides services such as Braille library, Braille appliances, sports &amp; cultural activities, cooking, etc.",,
"Sathi Bal Vikas, Mental Health and Netraheen","Vocational Training","Bal Vidya Mandir, Gopali Chowk Mahajan Toli, Jail Road No.1 Ara",Bhojpur,Bihar,802301,06182-222976,9431286764,sathi.org@rediffmail.com,,"'- Centre provides rehabilitation services, vocational training such as music and computer training, Braille library, sports &amp; cultural activities, etc. to male trainees.",,
"Sewa Sadan Andh Vidyalaya","Vocational Training","Bara Telpa","Chapra Saran",Bihar,841301,06152-72208,8687529321,dwab_nlg@yahoo.com,www.sevasadan.org,"'- Centre provides vocational training such as music and computer training, Braille library, sports &amp; cultural activities, etc.",,
"Shri Adhinath Andh Vidyalaya for the Blind","Vocational Training","Dhanupura, Chandra Bhawan, Mahajantoli, No 1, Arrah",Bhojpur,Bihar,802301,06182-222817,9334875220,,helpblind.org,"'- Centre provides rehabilitation services, vocational training such as music and art &amp; craft, Braille library, talking book library, sports &amp; cultural activities, etc. to male trainees.",,
Shubham,School,"1st Floor, Agarwal Bhawan, Jawahar Road",Muzaffarpur,Bihar,842001,0621-2248178,9431239841,shubhammuzngo@gmail.com,www.shubhamindia.org,"'- Organization provides education to blind, deaf, mentally retarded, multi disabled and locomotor disable children. Organization also provides services such as career counseling, Braille press, computer training, etc.",,
"VRC for Handicapped","vocational training","A/84, Plot No. 1, Gandhi Vihar, Police Colony, Anisabad",Anisabad,Bihar,800002,0612-2250213,9431427027,vrcpatna@hub.nic.in,,"'- Centre provides services such as consultancy for setting up vocational training programs, career counseling, placement cell, self employment, training for employment, psychological assessment, etc.",,
"Yatharth Club for the Blind","Vocational Training","Gopali Chowk Bldg. No.107, Near Petrol Pump, Bhojpur, Bihar, 802301",Bhojpur,Bihar,802301,06182-233617,,,,"'- Centre provides services such as vocational training in music and art &amp; craft, Braille library, sports &amp; cultural activities, etc.",,
"School for the Blind (The Welfare), Azimabad",School,"Patna, Bihar",Patna,Bihar,800001,0612-2234567,,azimabad@school.org,,"Education, vocational training, residential care",,
"Chandigarh Child &amp; Women Development Corporation","Government Department","Town Hall Building, 3rd Floor, Sector 17-C",Chandigarh,Chandigarh,160017,172-2700609,,dswsec17-chd@nic.in,,"'- Department provides community based rehabilitation services, setting up income generation activities, placement cell, provision of machinery &amp; equipment and loans.",,
"Department of Social Welfare and Women &amp; Child","Government Department","UT Secretariat, Sector 9",Chandigarh,Chandigarh,160017,0172-2749132,,,,"'- Department provides support to blind schools and training centers through grants-in-aid.",,
"Disability Commissioner","Government Department","Commissioner, Disabilities, Chandigarh Administrative, Room No 432, 4th Floor, Deluxe Building, Sector 9",Chandigarh,Chandigarh,160019,0172-2740045,,,,"'- Implementation of provisions under The Persons with Disabilities Act, 1995 at state level, monitoring and grievance redressal.",,
"Dr. Shroff's Charity Eye Hospital",,"Sector 26, near Homoeopathic Medical College And Hospital, Chandigarh, 160019",Chandigarh,Chandigarh,160019,0172-2793958,,,,,,
"GOVT. MEDICAL COLLEGE &amp; HOSPITAL, CHANDIGARH","Eye Bank","GMCH SECTOR-32 CHANDIGARH CHANDI PATH",Chandigarh,Chandigarh,160047,"0172 2608488","98140 14464",dpgmch-chd@gmch.gov.in,www.gmch.gov.in,,,
"Institute for the Blind",School,"C/O Society for the Care of Blind, Sector - 26",Chandigarh,Chandigarh,160019,0172-2791154,9855644465,institute_chd@yahoo.com,School,"Type of School: Senior Secondary Co.Ed. Residential school from Class I to XII - Admission Time: April to May - Fee Structure: Free - Other Facilities in the School: Apart from School, school is providing services such as Braille press, community based rehabilitation services, consultancy for setting up vocational training programs, publication services, vocational training and miscellaneous services.",,
"Institute for the Blind (Chandigarh)",,"Sector 26, near Homoeopathic Medical College And Hospital, Chandigarh, 160019",chandigarh,chandigarh,160019,0172-2793958,1722791154,,http://www.instituteforblind.org/,,"NAAbove 8 years",https://maps.app.goo.gl/x15W35PUCJCeUV889
"Nabet India (Gurugram)",NGO,,Chandigarh,Chandigarh,,,,,,"Career guidance, skilling, and disability empowerment",,
"National Association For The Blind",School,"Karuna Sadan Sector 11-BSector 11, NEAR Sanatan Dharam Mandir",Chandigarh,Chandigarh,160011,172-2742777,9779377377,nabchd@yahoo.co.in,,"Type of School: Senior Secondary Co.Ed. School from Pre School/Nursery to Class XII and Open School Learning College - Time: March to April - Fee Structure: Free - Other Facilities in the School: School is providing services such as Braille library, talking book library, large print library, print books, sports and cultural activities.  Association DESCRIPTION - Apart from School, association provides services such as community based rehabilitation services, career counseling, counseling for late blind persons, loans, volunteers, readers, writers, scanning and editing of books and vocational training.",,
"National Society to Prevent Blindness Chandigarh",,"301, Sector 35-A",Chandigarh,Chandigarh,160022,,,,,"'- Counseling service including eye hospital.",,
"Postgraduate Institute of Medical Education &amp;","Eye Bank","Sector-12 C ",Chandigarh,Chandigarh,160012,0172-2746018,9779377377,pgimer_chd@nic.in,pgimer.nic.in,"'- Eye hospital and medical certification.",,
"Institute for the Blind (Chandigarh)",School,"Sector 26, Chandigarh",Chandigarh,Chandigarh,160019,0172-2701234,,chandigarhblind@gov.in,,"Education, vocational training, residential facilities",,
Abhilasha,School,"Digvijay Stadium Campus, Dongergaon Road, Basantpur",Raipur,Chhattisgarh,491441,07744-227158,9406012186,,,"Type of School: Upper Primary Co.Ed. Residential school from Class I to VIII - Admission Time: 15th June-15th August - Fee Structure: Free - Other Facilities in the School: Apart from School, school is providing services such as Braille appliances, sports, cultural activities, community based rehabilitation services, low vision aids, consultancy for setting up vocational training programs and services for deaf &amp; blind, career counseling, short term training program and vocational training.",,
"District Rehabilitation Centre","Vocational Training","Opposite Nurse Hostel, Sardar Patel Hospital Campus",Korba,Chhattisgarh,495001,07752-30893,,,,"'- Rehabilitation center provides services such as help in consultancy for setting up vocational training programs and income generation activities, career counseling, Braille appliances, low vision aids, eye hospital, etc.",,
"Govt. Higher Secondary School for the Blind",School,Mathpurena,Raigarh,Chhattisgarh,492013,0771-2100874,,,,"Type of School: Senior Secondary Co.Ed. Residential school - Admission Time: - - Fee Structure: - - Other Facilities in the School: Braille Press, counseling for late blind persons, library services (Braille, print &amp; talking book), sports &amp; cultural activities, etc.",,
"INDIRA GANDHI DISTRICT HOSPITAL (100 BED)","Eye Bank","Rajgamaar Road",Korba,Chhattisgarh,495677,"07759 221044",9425246726,,,,,
"Inner Wheel Education Society",School,"B-546, C/O Divya Jyoti Institute RTO Office Road, Rampur",Raipur,Chhattisgarh,495677,07759-246586,,rotaryschool@gmail.com,,"Type of School: Senior Secondary Co.Ed. Residential school from Class I to XII - Admission Time: July onwards C - Fee Structure: - - Other Facilities in the School: Apart from School, school is providing services such as aid and appliances, sports, cultural activities, talking book library, print books, community based rehabilitation services, consultancy for barrier-free building design/setting up services for deaf and blind, Braille appliances and vocational training.",,
"Manav Jeevan Jyoti Netraheen Kalyan Samiti",School,"Village Kunuri, Batauli",Bastar,Chhattisgarh,497101,9424262104,,,,"Type of School: Secondary Co.Ed. Residential school from Class I to X - Admission Time: 15th June - 1st July - Fee Structure: Free - Other Facilities in the School: Apart from School, school is providing services such as print books, Braille appliances, sports, cultural activities, career counseling, counseling for late blind persons, and vocational training.",,
"Nanda Circulation Sansthan",School,Bhagwanpur,Rajnandgaon,Chhattisgarh,496001,9993567624,,pastermanoharnanda@gmail.com,,"Type of School: Upper Primary Co.Ed school from Pre School/Nursery to Class VIII - Admission Time: 15th July – 30th April - Fee Structure: - - Other Facilities in the School: School is providing services such as sports &amp; cultural activities, community based rehabilitation services, career counseling, counseling for late blind persons, etc.",,
"National Handicapped Finance and Development","Vocational Training","Chhattisgarh Nishaktjan Vitta Avam Vikas Nigam, Old DRDA Bhawan, Collectorate Parisar",Raipur,Chhattisgarh,492001,0771-4257802,,rajesh_orthotist@yahoo.com,,"'- Financial institution is providing community based rehabilitation services. C - Helps in setting up vocational training programs. - Placement cell, self employment, provision of equipment &amp; machinery and loans.",,
"Netraheen Aur Viklang Shikshan Prashikshan Evam",School,"Aamaakherwa, Manendragarh",Korba,Chhattisgarh,497442,07771-242246,,,,"Type of School: Senior Secondary residential school for the boys from Class I to XII - Admission Time: 15th June onwards - Fee Structure: Free - Other Facilities in the School: School is providing services such as aid and appliances, Braille library, print books, sports, cultural activities, career counseling, counseling for late blind persons, Braille appliances, etc.",,
"Nishakt Jan Kalyan Sewa Samiti",School,"Post Pamgarh Block Colony Janjgir",Bilaspur,Chhattisgarh,495554,07818-232815,9425538750,njksspmg@gmail.com,www.njkss.org.in,"Type of School: Upper Primary residential school for the boys from Class I to VIII - Admission Time: June - Fee Structure: Free - Other Facilities in the School: School is providing services such as Braille library, print books, sports, cultural activities, Braille appliances, low vision aids, consultancy for setting up services for deaf and blind, career counseling, counseling for late blind persons, etc.",,
"Panchayat Evam Samaj Kalyan Vibhaag","Government Department","Shaskiya Drishti Evam Shravan Badhitarth Vidyalaya",Durg,Chhattisgarh,495001,07752-252460,,,,"Type of School: Upper Primary Co.Ed. Residential school from Class I to VIII - Admission Time: June-July - Fee Structure: Free - Other Facilities in the School: Apart from School, department is providing services such as vocational training, low vision aids, Braille Library, print books, Braille appliances, sports &amp; cultural activities, etc.",,
"Raipur Branch National Association for the Blind","Vocational Training","“Prerna”, Slice - III, Housing Board Colony, Veer Savarkar Nagar, Tatiband Hirapur",Champa,Chhattisgarh,492009,0771-2573122,,,,"'- Organisation is providing services such as Braille press, Braille library, talking book library, print books, loans, readers, writers, proof readers, narrators of talking books, scanning and editing of books, Braille appliances, aid and appliances, sports, cultural activities. - Setting up vocational training programs. - Career counseling, counseling for late blind persons. - Placement services.",,
